age,job,marital,education,smoker,monthlyincome,houseowner,loan,contact,MOD,monthlyhouseholdincome,target_buy
25,student,single,secondary,no,5331,no,no,telephone,170,6108,no
25,technician,single,secondary,no,5505,no,yes,cellphone,386,6051,no
30,services,married,secondary,no,6808,yes,no,cellphone,83,7327,yes
22,admin.,single,secondary,no,9111,no,yes,cellphone,65,9112,yes
39,blue-collar,married,primary,no,5052,no,no,cellphone,69,5105,yes
46,management,divorced,Graduate,no,5025,no,no,unknown,564,5977,yes
31,admin.,divorced,secondary,no,6890,yes,no,cellphone,588,7502,yes
45,blue-collar,married,primary,no,5419,no,no,cellphone,113,6227,yes
32,technician,married,secondary,no,7693,yes,no,unknown,16,8645,yes
36,blue-collar,married,secondary,no,4769,no,yes,cellphone,779,4912,yes
51,management,single,Graduate,yes,4945,yes,no,cellphone,281,5041,yes
34,self-employed,single,Graduate,no,5462,no,no,cellphone,1877,5754,no
24,unemployed,single,secondary,no,5119,no,no,unknown,51,5973,yes
45,technician,single,secondary,no,5586,no,yes,cellphone,32,6183,yes
32,blue-collar,single,secondary,no,5228,no,no,telephone,176,5406,yes
77,retired,divorced,Graduate,no,9659,no,no,cellphone,161,9750,no
41,blue-collar,married,primary,no,5168,yes,no,cellphone,187,5871,yes
37,blue-collar,married,primary,no,5000,yes,no,unknown,24,5074,yes
43,blue-collar,married,unknown,yes,4285,yes,no,unknown,67,5070,yes
48,admin.,married,unknown,no,5000,yes,no,cellphone,85,5806,yes
27,technician,single,secondary,no,5769,yes,no,unknown,317,6719,yes
33,management,single,Graduate,no,5000,no,no,cellphone,236,5405,yes
29,admin.,single,secondary,no,5428,yes,yes,cellphone,54,5554,yes
34,management,single,Graduate,no,5000,no,no,cellphone,71,5776,yes
52,management,married,Graduate,no,4030,yes,no,cellphone,489,4606,no
60,management,married,unknown,no,11313,no,no,unknown,39,11550,yes
32,management,divorced,Graduate,no,5948,no,no,cellphone,204,6237,yes
32,management,single,Graduate,no,5000,yes,no,cellphone,455,5543,yes
56,services,divorced,unknown,no,6877,yes,no,unknown,86,7466,yes
31,management,single,Graduate,no,5874,yes,no,cellphone,190,5910,yes
42,admin.,married,secondary,no,5323,yes,yes,unknown,280,5684,yes
35,management,married,Graduate,no,5106,no,yes,cellphone,588,5362,yes
56,retired,married,primary,no,6906,no,yes,unknown,45,7828,yes
48,technician,married,secondary,no,6152,yes,no,cellphone,168,6159,yes
46,admin.,married,secondary,no,5179,yes,no,cellphone,194,5254,yes
37,technician,single,unknown,no,5391,yes,no,unknown,103,5828,yes
41,entrepreneur,married,unknown,no,5089,yes,no,unknown,333,5788,yes
36,management,single,Graduate,no,5442,yes,yes,cellphone,102,5732,yes
45,unemployed,divorced,primary,yes,4751,yes,yes,unknown,92,5518,yes
55,entrepreneur,married,secondary,no,13104,no,no,cellphone,213,13806,yes
39,technician,married,secondary,no,5501,no,no,unknown,289,6403,yes
35,technician,divorced,secondary,no,5308,no,no,cellphone,77,5647,yes
55,admin.,married,secondary,no,5602,no,no,cellphone,324,6470,no
55,technician,married,secondary,no,5273,yes,no,cellphone,84,6199,yes
27,self-employed,single,secondary,no,5050,no,no,cellphone,168,5719,yes
34,technician,married,secondary,no,6641,yes,no,cellphone,380,7214,yes
34,blue-collar,married,Graduate,no,5020,no,no,unknown,10,5244,yes
25,admin.,single,secondary,no,9590,yes,no,unknown,199,10566,yes
41,admin.,single,secondary,no,4744,no,yes,unknown,35,5104,yes
43,services,married,secondary,no,5978,yes,yes,unknown,82,6357,yes
28,management,single,Graduate,no,5080,no,no,cellphone,676,5393,no
31,admin.,single,secondary,no,7104,yes,no,unknown,455,7122,yes
78,housemaid,married,secondary,no,5499,no,no,telephone,80,5593,yes
45,blue-collar,divorced,secondary,no,6269,yes,no,cellphone,549,6682,yes
48,technician,married,Graduate,no,5310,no,no,unknown,135,5629,yes
32,blue-collar,single,secondary,no,6143,yes,yes,cellphone,412,6483,yes
42,technician,married,secondary,no,7980,no,no,unknown,101,8631,yes
37,management,single,Graduate,no,5037,no,no,cellphone,253,5978,yes
40,admin.,single,secondary,no,5462,yes,yes,cellphone,272,5498,yes
32,admin.,married,secondary,no,6031,yes,no,cellphone,84,6950,yes
42,management,married,Graduate,no,14009,no,no,cellphone,135,14143,yes
43,admin.,married,secondary,no,4535,yes,yes,cellphone,166,4556,yes
44,admin.,married,secondary,no,10181,yes,yes,cellphone,18,11085,yes
37,admin.,married,secondary,no,5176,yes,no,cellphone,147,5352,yes
37,unknown,married,unknown,no,6699,no,no,unknown,63,7472,yes
37,admin.,married,Graduate,no,5000,yes,no,cellphone,65,5203,yes
28,technician,single,Graduate,no,5172,yes,yes,cellphone,194,5219,yes
32,services,single,secondary,no,5000,no,yes,cellphone,333,5812,yes
34,admin.,single,secondary,no,11979,yes,no,cellphone,14,12681,yes
40,admin.,divorced,secondary,no,5006,no,no,unknown,140,5927,yes
34,services,married,secondary,no,4938,yes,no,unknown,109,5540,yes
34,self-employed,married,Graduate,no,6972,yes,no,cellphone,61,7620,yes
34,admin.,married,Graduate,no,5899,yes,no,telephone,377,6523,yes
37,services,single,secondary,no,5021,yes,no,cellphone,96,5824,yes
36,technician,married,secondary,no,5023,yes,no,cellphone,152,5326,yes
56,retired,married,secondary,no,3794,yes,no,cellphone,382,4097,no
49,blue-collar,married,primary,no,5000,yes,yes,telephone,97,5611,yes
33,self-employed,married,secondary,no,5215,yes,no,cellphone,543,6109,yes
30,management,single,Graduate,no,6372,no,no,cellphone,240,6742,yes
36,services,married,secondary,no,6981,no,no,unknown,48,7362,yes
23,student,single,secondary,no,14216,no,no,cellphone,471,14573,yes
57,retired,divorced,secondary,no,5039,yes,no,cellphone,354,6007,yes
27,blue-collar,single,secondary,no,10563,yes,no,unknown,435,11061,yes
38,services,married,secondary,no,5001,no,yes,cellphone,152,5708,yes
42,technician,married,Graduate,no,5782,no,no,cellphone,285,6072,yes
75,retired,married,secondary,no,8771,no,no,telephone,185,9027,no
34,technician,single,Graduate,no,5992,yes,no,cellphone,301,6145,yes
48,technician,married,secondary,no,6526,no,no,cellphone,273,7481,yes
35,technician,single,Graduate,no,7658,yes,no,cellphone,768,8061,no
39,management,divorced,Graduate,no,6315,yes,no,cellphone,1337,6529,yes
29,blue-collar,single,Graduate,no,5455,no,no,telephone,403,5528,no
45,technician,single,Graduate,no,5000,yes,no,cellphone,139,5592,yes
42,technician,married,secondary,no,7030,yes,yes,cellphone,196,7855,yes
29,technician,married,secondary,no,6599,yes,no,cellphone,115,6619,yes
38,services,single,secondary,no,4804,yes,no,cellphone,60,5304,yes
56,retired,married,secondary,no,6333,no,no,cellphone,17,7133,yes
36,technician,single,secondary,no,14149,yes,no,cellphone,141,14531,yes
25,blue-collar,single,secondary,no,4650,yes,no,unknown,95,4831,yes
38,technician,married,Graduate,no,5432,yes,no,cellphone,10,5961,yes
57,self-employed,married,secondary,no,16494,no,no,cellphone,198,17298,yes
31,management,married,Graduate,yes,4747,no,no,cellphone,220,5315,yes
42,management,married,Graduate,no,5372,yes,no,cellphone,654,6050,no
45,technician,married,secondary,no,6410,no,no,cellphone,71,7145,yes
30,blue-collar,married,secondary,no,5975,yes,no,cellphone,256,6706,yes
49,blue-collar,married,primary,no,5305,yes,yes,telephone,834,5476,yes
49,services,married,secondary,no,5400,no,no,cellphone,151,6285,yes
53,retired,married,Graduate,no,4978,yes,no,cellphone,20,5274,yes
37,technician,married,secondary,no,9030,yes,no,unknown,178,9120,yes
49,blue-collar,married,primary,no,5365,no,no,unknown,59,6365,yes
41,self-employed,married,primary,no,5204,no,no,cellphone,111,5234,yes
54,management,married,primary,no,6691,yes,no,cellphone,186,7064,yes
32,services,single,secondary,no,5406,yes,no,unknown,227,5844,yes
33,technician,married,secondary,no,4796,no,no,cellphone,297,4847,yes
33,technician,married,secondary,no,5359,yes,no,cellphone,210,5701,yes
36,blue-collar,married,primary,no,5123,yes,no,cellphone,9,5505,yes
35,technician,married,Graduate,no,5000,yes,yes,cellphone,112,5693,yes
52,unknown,married,secondary,no,5142,no,no,cellphone,112,5454,yes
40,entrepreneur,married,Graduate,no,8571,no,no,unknown,222,8956,yes
44,technician,single,secondary,no,5033,yes,no,cellphone,195,5833,yes
45,blue-collar,single,secondary,no,5000,yes,no,cellphone,768,5636,yes
30,student,single,secondary,no,8096,no,no,cellphone,123,8362,yes
48,technician,divorced,secondary,yes,5020,no,no,cellphone,145,5749,yes
33,blue-collar,married,secondary,no,8576,yes,no,cellphone,124,8664,yes
57,technician,married,unknown,no,5206,yes,no,unknown,216,5325,yes
57,housemaid,married,primary,no,12082,no,no,unknown,69,12123,yes
51,unemployed,married,Graduate,no,6634,yes,no,cellphone,168,7395,yes
34,admin.,single,secondary,no,5001,yes,no,cellphone,483,5229,yes
50,self-employed,married,Graduate,no,9012,no,no,cellphone,690,9061,yes
44,management,married,Graduate,no,8762,no,no,cellphone,125,9112,yes
27,admin.,married,secondary,no,4753,yes,yes,unknown,344,5587,yes
50,blue-collar,married,secondary,no,5606,yes,no,unknown,673,6179,yes
36,management,married,Graduate,no,5000,yes,no,cellphone,60,5504,yes
42,management,married,secondary,no,4811,yes,no,unknown,247,5295,yes
32,unemployed,single,secondary,no,5000,no,no,cellphone,123,5955,yes
42,management,married,Graduate,no,5484,yes,no,cellphone,144,6440,yes
43,technician,married,secondary,no,5000,no,yes,cellphone,9,5892,yes
31,management,married,Graduate,no,5395,yes,no,cellphone,155,5512,yes
32,management,married,Graduate,no,7349,no,no,cellphone,134,7376,yes
55,blue-collar,divorced,primary,no,5410,no,yes,cellphone,221,5649,yes
58,retired,married,primary,no,8401,yes,no,cellphone,84,8479,yes
46,blue-collar,married,primary,no,5222,no,no,cellphone,71,6117,yes
55,blue-collar,married,secondary,no,5989,yes,yes,unknown,246,6476,yes
34,management,married,Graduate,no,5415,no,yes,cellphone,361,5750,yes
28,unemployed,single,secondary,no,5016,no,no,cellphone,119,5563,yes
42,technician,divorced,Graduate,no,12190,yes,no,cellphone,375,12737,yes
29,blue-collar,single,secondary,no,5482,no,yes,cellphone,1097,6422,no
54,housemaid,married,secondary,no,5209,yes,yes,cellphone,97,5940,yes
32,technician,single,secondary,no,5000,no,no,cellphone,181,5271,yes
39,technician,single,Graduate,no,10803,no,no,cellphone,83,11462,yes
53,entrepreneur,married,Graduate,no,5624,no,yes,cellphone,180,6048,yes
58,technician,married,Graduate,no,5883,no,no,cellphone,543,6023,yes
40,self-employed,married,secondary,no,6516,yes,yes,unknown,373,7435,yes
29,student,single,secondary,no,5872,yes,no,unknown,230,6824,yes
33,technician,married,Graduate,no,4012,yes,yes,cellphone,83,4471,yes
38,admin.,single,secondary,no,5902,yes,no,telephone,58,6273,yes
56,services,divorced,secondary,no,6007,no,no,cellphone,88,6820,yes
40,services,married,secondary,no,5000,yes,no,cellphone,297,5091,yes
24,blue-collar,single,secondary,no,5174,yes,yes,cellphone,487,5611,no
46,management,married,secondary,no,17186,no,no,unknown,29,17598,yes
35,self-employed,married,secondary,no,5524,yes,no,cellphone,484,6072,yes
35,blue-collar,single,Graduate,no,5000,yes,no,cellphone,262,5821,yes
34,technician,married,secondary,no,5004,yes,no,unknown,644,5487,yes
35,housemaid,married,Graduate,no,16219,no,no,cellphone,699,17013,yes
38,technician,single,Graduate,no,5000,no,no,cellphone,247,5706,yes
50,blue-collar,married,primary,no,10776,no,no,cellphone,49,11572,yes
51,blue-collar,divorced,primary,no,5037,yes,no,cellphone,341,5426,yes
59,self-employed,married,Graduate,no,5593,no,no,unknown,64,5657,yes
32,blue-collar,married,secondary,no,6148,yes,no,cellphone,121,7046,yes
37,blue-collar,single,secondary,no,8561,yes,no,unknown,98,9390,yes
42,admin.,divorced,secondary,no,5063,no,no,unknown,88,5313,yes
40,student,married,secondary,no,5260,no,no,unknown,197,5668,yes
28,technician,single,Graduate,no,7269,yes,no,unknown,331,8019,yes
47,admin.,married,secondary,no,6060,yes,no,unknown,83,6139,yes
27,self-employed,married,secondary,no,4780,yes,no,unknown,138,5753,yes
41,management,married,Graduate,no,5049,yes,no,cellphone,312,5725,yes
34,admin.,married,Graduate,no,5069,no,yes,cellphone,120,5650,no
50,blue-collar,married,primary,no,9108,yes,no,cellphone,526,9528,no
47,blue-collar,married,secondary,no,5480,yes,no,unknown,211,5986,yes
53,services,married,secondary,no,9994,no,no,cellphone,62,10295,yes
53,technician,divorced,secondary,no,5000,yes,yes,cellphone,135,5726,yes
47,management,married,Graduate,no,8681,no,no,cellphone,101,9540,yes
49,entrepreneur,divorced,unknown,yes,4299,yes,no,cellphone,988,5179,no
29,management,married,Graduate,no,5451,no,no,cellphone,451,5979,yes
45,blue-collar,divorced,primary,no,4689,yes,no,unknown,1030,4862,no
38,entrepreneur,married,secondary,no,5593,yes,yes,cellphone,1484,5764,no
32,blue-collar,married,secondary,no,5759,yes,no,cellphone,317,6460,no
70,retired,divorced,primary,no,9531,no,no,cellphone,445,9962,yes
65,retired,divorced,primary,no,6840,no,no,cellphone,383,7530,yes
56,blue-collar,married,secondary,no,5345,yes,no,telephone,605,5565,yes
35,blue-collar,married,secondary,no,6287,yes,no,cellphone,330,6460,yes
56,management,married,unknown,no,5353,no,yes,cellphone,171,5965,yes
56,technician,married,secondary,no,5205,no,yes,cellphone,442,5594,yes
49,entrepreneur,married,secondary,no,5687,yes,no,cellphone,772,6130,no
38,unemployed,married,primary,no,6147,yes,yes,unknown,249,6483,yes
35,management,married,Graduate,no,9286,yes,no,unknown,357,9386,yes
38,admin.,married,Graduate,no,5605,no,no,cellphone,147,6233,yes
49,blue-collar,married,secondary,no,13545,yes,yes,cellphone,199,14263,yes
55,management,married,unknown,no,5559,no,no,cellphone,271,6518,yes
43,blue-collar,single,primary,no,5002,yes,no,cellphone,783,5858,yes
43,management,married,Graduate,no,5002,no,yes,cellphone,472,5558,yes
25,admin.,single,Graduate,no,5760,yes,no,cellphone,223,6500,no
30,blue-collar,married,primary,no,6317,yes,no,unknown,395,6999,yes
46,blue-collar,married,secondary,no,5182,no,no,cellphone,56,6059,yes
50,admin.,married,primary,no,5276,no,yes,unknown,641,5893,yes
35,entrepreneur,married,secondary,no,7971,no,no,cellphone,429,8002,no
26,unemployed,single,secondary,no,6064,no,no,unknown,113,6920,yes
45,admin.,married,unknown,no,6783,no,no,unknown,11,7127,yes
37,blue-collar,married,secondary,no,4933,no,no,cellphone,157,5099,yes
60,self-employed,single,Graduate,no,5179,no,yes,cellphone,79,5414,yes
38,management,married,Graduate,no,6199,no,no,cellphone,178,6597,no
47,blue-collar,married,primary,no,5214,yes,yes,unknown,168,5784,yes
33,technician,married,secondary,no,11699,no,no,cellphone,425,12492,yes
51,unemployed,married,secondary,no,6760,no,yes,cellphone,162,7307,yes
35,entrepreneur,single,Graduate,no,5145,yes,no,cellphone,799,5592,no
35,unemployed,married,secondary,no,5978,no,no,cellphone,1370,6194,no
48,admin.,single,secondary,no,6150,yes,no,unknown,357,6489,yes
37,admin.,married,secondary,no,5121,no,no,cellphone,22,5853,yes
29,technician,single,Graduate,no,5828,yes,no,cellphone,215,6498,yes
34,admin.,married,secondary,no,5244,yes,no,cellphone,56,5611,yes
32,services,married,primary,no,5228,yes,no,cellphone,1017,5437,no
30,management,single,Graduate,no,5424,no,no,cellphone,298,6192,no
47,management,divorced,Graduate,no,5447,no,yes,unknown,126,5608,yes
33,blue-collar,married,primary,no,4805,no,no,unknown,9,5379,yes
33,management,single,Graduate,no,6410,yes,no,cellphone,8,7082,yes
63,retired,married,primary,no,6084,no,no,cellphone,201,6586,yes
51,self-employed,divorced,primary,no,15924,no,no,cellphone,106,16744,yes
41,management,married,Graduate,no,5832,yes,yes,cellphone,164,6374,yes
56,retired,married,Graduate,no,5478,no,no,cellphone,97,6060,yes
60,management,single,Graduate,no,5000,no,yes,cellphone,151,5700,yes
41,self-employed,single,Graduate,no,8950,yes,no,unknown,96,9278,yes
37,management,single,unknown,no,5504,yes,no,cellphone,555,6394,yes
36,blue-collar,single,secondary,no,5219,yes,yes,cellphone,270,5660,yes
57,management,married,Graduate,no,6602,no,no,cellphone,339,6885,yes
55,management,married,primary,no,7587,no,no,cellphone,328,7929,no
44,admin.,married,secondary,no,5000,yes,yes,unknown,159,5772,yes
47,self-employed,married,Graduate,no,7303,yes,no,cellphone,323,8278,yes
31,blue-collar,married,secondary,no,6660,yes,no,cellphone,342,7151,yes
35,management,married,Graduate,yes,5032,yes,no,cellphone,180,5937,yes
39,management,married,Graduate,no,5278,no,yes,cellphone,60,5990,yes
50,management,married,Graduate,no,5004,no,no,cellphone,223,5714,yes
29,management,married,Graduate,no,5318,yes,no,cellphone,1434,5333,yes
30,services,single,secondary,no,5209,yes,no,unknown,30,5666,yes
46,services,married,secondary,no,5271,yes,no,unknown,134,5482,yes
27,management,single,unknown,no,8196,no,no,cellphone,10,9030,yes
48,admin.,divorced,secondary,no,9099,no,no,cellphone,397,9385,no
26,student,single,secondary,no,7572,yes,no,cellphone,620,8381,yes
36,management,single,Graduate,no,5339,no,no,cellphone,6,6003,yes
42,blue-collar,married,primary,no,5000,yes,yes,cellphone,209,5226,yes
50,housemaid,married,primary,no,5395,yes,no,unknown,419,5538,yes
49,blue-collar,married,secondary,no,7039,yes,no,cellphone,283,7468,yes
45,management,married,Graduate,no,10450,no,no,cellphone,188,10954,yes
23,student,single,secondary,no,5780,no,no,cellphone,267,5911,yes
38,technician,single,secondary,no,5000,yes,no,cellphone,196,5412,yes
32,management,single,Graduate,no,13436,yes,no,cellphone,245,14019,yes
60,technician,single,primary,no,16262,no,no,cellphone,323,16454,no
30,entrepreneur,married,secondary,no,5946,yes,no,cellphone,1065,6387,yes
58,housemaid,married,Graduate,no,5497,no,no,unknown,138,6118,yes
60,retired,married,primary,no,5055,no,no,cellphone,207,5597,yes
38,services,married,secondary,no,4860,no,no,unknown,456,5603,yes
51,technician,married,secondary,no,4621,yes,no,cellphone,261,5171,yes
42,admin.,married,secondary,no,4604,yes,no,cellphone,80,5021,yes
30,services,single,secondary,no,5000,yes,no,cellphone,131,5470,yes
40,management,married,primary,no,5733,yes,no,unknown,94,6105,yes
37,management,married,Graduate,no,5393,yes,no,cellphone,567,5724,no
53,technician,divorced,primary,no,12290,yes,no,unknown,153,12520,yes
27,services,single,secondary,no,5468,yes,no,cellphone,109,6413,yes
39,blue-collar,married,secondary,no,5000,yes,no,cellphone,53,5302,yes
39,blue-collar,married,primary,no,8705,yes,no,unknown,77,9696,yes
59,retired,married,Graduate,no,14676,no,no,telephone,234,15051,no
37,services,married,secondary,no,6328,yes,no,telephone,121,7055,yes
41,blue-collar,married,primary,no,5008,yes,no,cellphone,155,5581,yes
45,blue-collar,married,primary,no,5061,no,no,cellphone,108,5655,yes
48,management,married,Graduate,no,11613,no,no,unknown,159,12613,yes
48,technician,married,secondary,no,5302,yes,no,unknown,208,6040,yes
32,blue-collar,married,secondary,no,6005,no,no,cellphone,215,6063,yes
35,services,married,secondary,no,5109,yes,no,unknown,597,5886,yes
33,management,single,Graduate,no,6240,yes,no,cellphone,505,6494,yes
28,blue-collar,single,primary,no,5000,yes,yes,unknown,380,5002,yes
64,retired,married,unknown,no,7923,no,no,cellphone,120,8574,yes
35,technician,married,secondary,no,5000,no,no,cellphone,106,5349,yes
33,blue-collar,married,secondary,no,5043,yes,no,cellphone,332,5645,yes
41,technician,married,secondary,no,5288,yes,no,unknown,221,5335,yes
34,admin.,married,secondary,no,5613,yes,no,cellphone,80,6177,yes
37,technician,single,Graduate,no,11101,no,no,cellphone,60,11979,yes
38,blue-collar,married,primary,no,5168,yes,yes,telephone,212,5369,yes
39,blue-collar,married,primary,no,12685,yes,no,cellphone,493,12896,yes
35,technician,divorced,Graduate,no,9515,yes,no,cellphone,98,9695,yes
28,blue-collar,single,secondary,no,5517,no,yes,cellphone,681,5989,no
27,blue-collar,single,secondary,no,5148,no,no,cellphone,203,5149,yes
48,retired,married,primary,yes,4715,no,yes,cellphone,157,5000,yes
50,blue-collar,married,secondary,no,5887,no,no,unknown,287,6760,yes
